Golf - Majors Men,,,,,,,,,
Finish,Masters ($21M),U.S. Open ($21.5M),PGA Championship ($19M),The Open ($17M),,,,,
5,155478,74559,260000,-,-,-,-,138467,
6,139930,61003,195000,-,-,-,-,113291,
7,117127,51062,155000,-,-,-,-,94829,
8,102617,44736,136000,-,-,-,-,83081,
9,92251,40217,120000,-,-,-,-,74689,
10,83958,36602,113500,-,-,-,-,67975,
11,77737,33890,107000,-,-,-,-,62939,
,,,,,,,,,
Golf - Non Majors Men,,,,,,,,,
Finish,The Players Championship,AT&T Pebble Beach Pro-Am,Genesis Invitational,Arnold Palmer Invitational,RBC Heritage,Memorial Tournament,Travelers Championship,FedEx St. Jude Championship,BMW Championship
1,4500000,3600000,4000000,4000000,3600000,4000000,3600000,3600000,3600000
2,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,-,-,-
9,-,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,-,-,-
